,K-O,Hi-Lo,Hi-Opt I,Hi-Opt II,Knock-Out,KISS,Zen,Omega II,Red 7,Wizard Ace,Halves,No Strategy
1967,50.5195,50.1403,50.4273,50.337,50.0798,50.1296,50.2938,50.3154,50.3529,50.0551,50.0069,50.6731
1968,50.5197,50.1462,50.4248,50.3447,50.082,50.1235,50.3071,50.3153,50.3472,50.0505,50.0116,50.677
1969,50.5217,50.1512,50.4195,50.3543,50.0838,50.1184,50.3,50.3068,50.3424,50.0509,50.0176,50.6831
1970,50.5302,50.1493,50.4184,50.3495,50.1004,50.1225,50.3073,50.3043,50.3436,50.0509,50.0249,50.68
1971,50.5285,50.1474,50.4122,50.3437,50.1054,50.1284,50.3048,50.2986,50.3439,50.0485,50.0319,50.6787
1972,50.5214,50.1418,50.4096,50.338,50.0934,50.1293,50.3074,50.3068,50.3405,50.0388,50.0369,50.6714
1973,50.5184,50.1496,50.4113,50.3462,50.0883,50.1288,50.3031,50.3062,50.3435,50.0411,50.0254,50.6711
1974,50.5176,50.1389,50.4023,50.3446,50.0841,50.1352,50.3034,50.3065,50.3318,50.0425,50.0148,50.6731
1975,50.5178,50.1337,50.3993,50.3398,50.0804,50.1273,50.2968,50.3017,50.3289,50.0401,50.0194,50.6806
1976,50.513,50.1346,50.3982,50.336,50.078,50.1281,50.2971,50.2974,50.3306,50.0369,50.0129,50.6853
1977,50.5146,50.1294,50.398,50.333,50.0927,50.1216,50.2993,50.2954,50.3249,50.0318,50.0133,50.6915
1978,50.5171,50.1349,50.4033,50.3255,50.0867,50.1271,50.3056,50.2957,50.3247,50.0359,50.0078,50.6883
1979,50.5081,50.1334,50.3976,50.3327,50.0788,50.1344,50.3109,50.2832,50.3191,50.0276,50.0069,50.6875
1980,50.5106,50.1334,50.3956,50.3321,50.0815,50.1329,50.3278,50.2867,50.3207,50.0258,50.0092,50.6853
1981,50.5062,50.1365,50.3894,50.3374,50.0842,50.131,50.3331,50.2829,50.3201,50.0262,50.0188,50.6942
1982,50.5059,50.1415,50.3943,50.3327,50.0801,50.1282,50.3353,50.2791,50.3245,50.0271,50.017,50.7058
1983,50.5061,50.1405,50.3973,50.3481,50.0782,50.1304,50.3374,50.279,50.3276,50.0289,50.0096,50.7147
