,No Strategy
1047,49.9887
1048,49.9887
1049,49.9617
1050,49.9408
1051,49.9383
1052,49.9279
1053,49.9349
1054,49.9341
1055,49.942
1056,49.9446
1057,49.9507
1058,49.9568
1059,49.9689
1060,49.9724
1061,49.9725
1062,49.9699
1063,49.9708
1064,49.9674
1065,49.964
1066,49.9614
1067,49.9666
1068,49.9649
1069,49.9573
1070,49.9462
1071,49.9437
1072,49.9702
1073,49.9702
1074,49.9651
1075,49.9677
1076,49.9711
1077,49.9813
1078,49.9695
1079,49.9407
1080,49.9476
1081,49.9679
1082,49.9764
1083,49.9806
1084,49.989
1085,49.9941
1086,49.9807
1087,49.9731
1088,49.9706
1089,49.9597
1090,49.9556
1091,49.9439
1092,49.9448
1093,49.9365
1094,49.9282
1095,49.9266
1096,49.9308
1097,49.9351
1098,49.9401
1099,49.9451
1100,49.9518
1101,49.9378
1102,49.937
1103,49.9338
1104,49.9247
1105,49.9198
1106,49.9207
1107,49.915
1108,49.9002
1109,49.9012
1110,49.9152
1111,49.9202
1112,49.9113
1113,49.9048
1114,49.9196
1115,49.9435
1116,49.9362
1117,49.937
1118,49.933
1119,49.9445
1120,49.9478
1121,49.9536
1122,49.9626
1123,49.9545
1124,49.9537
1125,49.961
1126,49.9757
1127,49.9927
1128,50.0081
1129,50.0275
1130,50.0461
1131,50.0355
1132,50.0371
1133,50.0274
1134,50.0177
1135,50.0274
1136,50.0185
1137,50.0
1138,50.0008
1139,49.988
1140,49.9888
1141,49.988
1142,49.9904
1143,49.9888
1144,49.9888
1145,49.9713
1146,49.9833
1147,49.9745
1148,49.9881
1149,49.9825
1150,49.9746
1151,49.9833
1152,49.9889
1153,49.9826
1154,49.9873
1155,49.9929
1156,49.9992
1157,49.9921
1158,49.9945
1159,49.989
1160,49.9976
1161,50.0102
1162,50.0102
1163,50.0181
1164,50.0063
1165,50.0251
1166,50.0266
1167,50.0454
1168,50.0563
1169,50.05
1170,50.0422
1171,50.0515
1172,50.0561
1173,50.0483
1174,50.0545
1175,50.0404
1176,50.0272
1177,50.031
1178,50.038
1179,50.031
1180,50.0317
1181,50.0294
1182,50.0294
1183,50.0193
1184,50.027
1185,50.0455
1186,50.0331
1187,50.0339
1188,50.0407
1189,50.0407
1190,50.0299
1191,50.0445
1192,50.0667
1193,50.0697
1194,50.0688
1195,50.0642
1196,50.0596
1197,50.0427
1198,50.0465
1199,50.0442
1200,50.0411
1201,50.0395
1202,50.0448
1203,50.041
1204,50.0432
1205,50.0485
1206,50.0492
1207,50.0499
1208,50.0484
1209,50.0755
1210,50.0604
1211,50.0573
1212,50.0595
1213,50.0504
1214,50.0354
1215,50.0323
1216,50.0308
1217,50.0233
1218,50.0135
1219,50.0127
1220,50.018
1221,50.0112
1222,50.009
1223,50.0142
1224,50.0119
1225,50.0179
1226,50.0149
1227,50.0246
1228,50.026
1229,50.0238
1230,50.0252
1231,50.0223
1232,50.0348
1233,50.0356
1234,50.0303
1235,50.0296
1236,50.0296
1237,50.0428
1238,50.0391
1239,50.0472
1240,50.067
1241,50.0508
1242,50.0566
1243,50.0456
1244,50.0507
1245,50.0543
1246,50.041
1247,50.0425
1248,50.049
1249,50.06
1250,50.0643
1251,50.0664
1252,50.0598
1253,50.0612
1254,50.059
1255,50.0626
1256,50.0691
1257,50.0836
1258,50.0769
1259,50.074
1260,50.0718
1261,50.0818
1262,50.0832
1263,50.0723
1264,50.0658
1265,50.0592
1266,50.0729
1267,50.0678
1268,50.0612
1269,50.0497
1270,50.0539
1271,50.0474
1272,50.033
1273,50.0273
1274,50.0387
1275,50.0437
1276,50.0422
1277,50.0515
1278,50.0422
1279,50.0478
1280,50.0514
1281,50.0364
1282,50.0534
1283,50.0463
1284,50.0498
1285,50.0448
1286,50.0391
1287,50.0298
1288,50.039
1289,50.0283
1290,50.0432
1291,50.0417
1292,50.0474
1293,50.0509
1294,50.0515
1295,50.06
1296,50.0479
1297,50.0458
1298,50.038
1299,50.0323
1300,50.0344
1301,50.0372
1302,50.0372
1303,50.0301
1304,50.0224
1305,50.0252
1306,50.0315
1307,50.014
1308,50.0133
1309,50.0105
1310,50.0167
1311,50.016
1312,50.0188
1313,50.0306
1314,50.0306
1315,50.0208
1316,50.0146
1317,50.0201
1318,50.0201
1319,50.018
1320,50.0159
1321,50.0201
1322,50.0269
1323,50.0186
1324,50.0124
1325,50.0097
1326,50.0103
1327,49.9979
1328,49.9938
1329,49.9979
1330,49.9911
1331,49.989
1332,49.9774
1333,49.976
1334,49.9822
1335,49.987
1336,49.9767
1337,49.9768
1338,49.9829
1339,49.9877
1340,49.9918
1341,49.9952
1342,49.9925
1343,49.9837
1344,49.9891
1345,49.9898
1346,49.9952
1347,49.9851
1348,49.9709
1349,49.9621
1350,49.9729
1351,49.9533
1352,49.9601
1353,49.9548
1354,49.9467
1355,49.9461
1356,49.9434
1357,49.9475
1358,49.9388
1359,49.9462
1360,49.9348
1361,49.9476
1362,49.9497
1363,49.945
1364,49.9511
1365,49.9625
1366,49.9465
1367,49.9539
1368,49.9513
1369,49.9379
1370,49.932
1371,49.934
1372,49.9294
1373,49.9428
1374,49.9468
1375,49.9395
1376,49.9316
1377,49.929
1378,49.9357
1379,49.9397
1380,49.9384
1381,49.9286
1382,49.9233
1383,49.9201
1384,49.9247
1385,49.9222
1386,49.9209
1387,49.9183
1388,49.9164
1389,49.9
1390,49.885
1391,49.8805
1392,49.8746
1393,49.8787
1394,49.8742
1395,49.8841
1396,49.8835
1397,49.8751
1398,49.883
1399,49.8949
1400,49.9034
1401,49.9048
1402,49.9022
1403,49.8938
1404,49.8998
1405,49.8999
1406,49.9103
1407,49.9104
1408,49.9014
1409,49.8924
1410,49.9073
1411,49.897
1412,49.8945
1413,49.8959
1414,49.9011
1415,49.8889
1416,49.8858
1417,49.882
1418,49.8769
1419,49.8706
1420,49.8636
1421,49.8663
1422,49.8708
1423,49.8626
1424,49.8511
1425,49.8538
1426,49.8526
1427,49.8553
1428,49.8765
1429,49.874
1430,49.8677
1431,49.8761
1432,49.8845
1433,49.8954
1434,49.8879
1435,49.8962
1436,49.8963
1437,49.8913
1438,49.8945
1439,49.8813
1440,49.9023
1441,49.91
1442,49.9075
1443,49.9019
1444,49.9076
1445,49.9127
1446,49.904
1447,49.8996
1448,49.8959
1449,49.8909
1450,49.8916
1451,49.8993
1452,49.9044
1453,49.8931
1454,49.8926
1455,49.8933
1456,49.8908
1457,49.8978
1458,49.9054
1459,49.891
1460,49.8849
1461,49.8887
1462,49.8969
1463,49.8988
1464,49.892
1465,49.8902
1466,49.8953
1467,49.901
1468,49.9091
1469,49.9055
1470,49.8981
1471,49.9087
1472,49.9125
1473,49.9101
1474,49.9046
1475,49.9052
1476,49.9004
1477,49.8992
1478,49.8887
1479,49.8931
1480,49.8895
1481,49.8964
1482,49.9131
1483,49.9156
1484,49.9083
1485,49.9163
1486,49.9201
1487,49.9109
1488,49.9085
1489,49.9159
